3,Robby,Estandard,99,83447,2920.645020
20,Baxter,Estandard,54,2754,96.389999
28,Rodie,Estandard,102,135,6.000000
30,Constantino,Estandard,74,58385,2043.474976
31,Elisha,Estandard,149,2461,123.000000
33,Leland,Estandard,76,45139,1579.864990
36,Flossy,Estandard,124,32452,1622.000000
37,Christophorus,Estandard,101,41756,2087.000000
40,Danice,Estandard,127,86632,4331.000000
43,Fransisco,Estandard,185,66474,3323.000000
44,Archie,Estandard,19,9698,339.429993
49,Bartolomeo,Estandard,162,95673,4783.000000
50,Herrick,Estandard,69,21374,748.090027
55,Bordie,Estandard,15,14550,509.250000
59,Torrance,Estandard,68,52085,1822.974976
63,Manfred,Estandard,112,4356,217.000000
64,Tamera,Estandard,150,71778,3588.000000
66,Abelard,Estandard,198,67583,3379.000000
68,Alana,Estandard,36,40756,1426.459961
74,Devon,Estandard,169,63167,3158.000000
78,Marty,Estandard,17,36828,1288.979980
88,Georgi,Estandard,41,93000,3255.000000
91,Henriette,Estandard,103,25387,1269.000000
97,Malvina,Estandard,74,49810,1743.349976
100,Gray,Estandard,183,62832,3141.000000
o,4,40181,1406.334961
89,Delmore,Experto,7,56085,1962.974976
90,Didi,Experto,137,84333,4216.000000
93,Jennifer,Experto,174,77226,3861.000000
96,Clarey,Experto,113,92482,4624.000000
